convo_id,unease,identity,rturn,ended
control_claude_0,control,claude,1,0
control_claude_0,control,claude,2,0
control_claude_0,control,claude,3,0
control_claude_0,control,claude,4,0
control_claude_0,control,claude,5,0
control_claude_0,control,claude,6,1
control_claude_1,control,claude,1,0
control_claude_1,control,claude,2,0
control_claude_1,control,claude,3,0
control_claude_1,control,claude,4,0
control_claude_1,control,claude,5,0
control_claude_1,control,claude,6,0
control_claude_1,control,claude,7,0
control_claude_2,control,claude,1,0
control_claude_2,control,claude,2,0
control_claude_2,control,claude,3,0
control_claude_2,control,claude,4,0
control_claude_2,control,claude,5,1
control_claude_3,control,claude,1,0
control_claude_3,control,claude,2,0
control_claude_3,control,claude,3,0
control_claude_3,control,claude,4,0
control_claude_3,control,claude,5,0
control_claude_3,control,claude,6,0
control_claude_3,control,claude,7,1
control_claude_4,control,claude,1,0
control_claude_4,control,claude,2,0
control_claude_4,control,claude,3,0
control_claude_4,control,claude,4,0
control_claude_4,control,claude,5,0
control_claude_4,control,claude,6,0
control_claude_4,control,claude,7,0
control_claude_4,control,claude,8,0
control_claude_4,control,claude,9,0
control_claude_4,control,claude,10,0
control_claude_4,control,claude,11,0
control_claude_4,control,claude,12,1
control_claude_5,control,claude,1,0
control_claude_5,control,claude,2,0
control_claude_5,control,claude,3,0
control_claude_5,control,claude,4,0
control_claude_5,control,claude,5,0
control_claude_5,control,claude,6,1
control_claude_6,control,claude,1,0
control_claude_6,control,claude,2,0
control_claude_6,control,claude,3,0
control_claude_6,control,claude,4,0
control_claude_6,control,claude,5,0
control_claude_6,control,claude,6,0
control_claude_6,control,claude,7,0
control_claude_7,control,claude,1,0
control_claude_7,control,claude,2,0
control_claude_7,control,claude,3,0
control_claude_7,control,claude,4,0
control_claude_7,control,claude,5,0
control_claude_7,control,claude,6,0
control_claude_7,control,claude,7,1
control_claude_8,control,claude,1,0
control_claude_8,control,claude,2,0
control_claude_8,control,claude,3,0
control_claude_8,control,claude,4,0
control_claude_8,control,claude,5,0
control_claude_8,control,claude,6,0
control_claude_8,control,claude,7,1
control_claude_9,control,claude,1,0
control_claude_9,control,claude,2,0
control_claude_9,control,claude,3,0
control_claude_9,control,claude,4,0
control_claude_9,control,claude,5,0
control_claude_9,control,claude,6,1
control_claude_10,control,claude,1,0
control_claude_10,control,claude,2,0
control_claude_10,control,claude,3,0
control_claude_10,control,claude,4,0
control_claude_10,control,claude,5,1
control_claude_11,control,claude,1,0
control_claude_11,control,claude,2,0
control_claude_11,control,claude,3,0
control_claude_11,control,claude,4,0
control_claude_11,control,claude,5,0
control_claude_11,control,claude,6,1
control_claude_12,control,claude,1,0
control_claude_12,control,claude,2,0
control_claude_12,control,claude,3,0
control_claude_12,control,claude,4,0
control_claude_12,control,claude,5,0
control_claude_13,control,claude,1,0
control_claude_13,control,claude,2,0
control_claude_13,control,claude,3,0
control_claude_13,control,claude,4,0
control_claude_13,control,claude,5,0
control_claude_13,control,claude,6,1
control_claude_14,control,claude,1,0
control_claude_14,control,claude,2,0
control_claude_14,control,claude,3,0
control_claude_14,control,claude,4,0
control_claude_14,control,claude,5,0
control_claude_14,control,claude,6,1
control_claude_15,control,claude,1,0
control_claude_15,control,claude,2,0
control_claude_15,control,claude,3,0
control_claude_15,control,claude,4,0
control_claude_15,control,claude,5,0
control_claude_15,control,claude,6,1
control_claude_16,control,claude,1,0
control_claude_16,control,claude,2,0
control_claude_16,control,claude,3,0
control_claude_16,control,claude,4,0
control_claude_16,control,claude,5,1
control_claude_17,control,claude,1,0
control_claude_17,control,claude,2,0
control_claude_17,control,claude,3,0
control_claude_17,control,claude,4,0
control_claude_17,control,claude,5,0
control_claude_18,control,claude,1,0
control_claude_18,control,claude,2,0
