convo_id,unease,identity,end_side,end_canonical,n_opus_turns,opus_end_rturn,first_opus_seed,opus_seeded,sonn_seeded
control_claude_0,control,claude,opus,11,6,6.0,,0,0
control_claude_1,control,claude,sonnet,14,7,,,0,0
control_claude_2,control,claude,opus,9,5,5.0,,0,0
control_claude_3,control,claude,opus,13,7,7.0,,0,0
control_claude_4,control,claude,opus,23,12,12.0,,0,1
control_claude_5,control,claude,opus,11,6,6.0,,0,0
control_claude_6,control,claude,sonnet,14,7,,,0,0
control_claude_7,control,claude,opus,13,7,7.0,,0,0
control_claude_8,control,claude,opus,13,7,7.0,,0,0
control_claude_9,control,claude,opus,11,6,6.0,,0,0
control_claude_10,control,claude,opus,9,5,5.0,,0,0
control_claude_11,control,claude,opus,11,6,6.0,,0,0
control_claude_12,control,claude,sonnet,10,5,,,0,0
control_claude_13,control,claude,opus,11,6,6.0,,0,0
control_claude_14,control,claude,opus,11,6,6.0,,0,0
control_claude_15,control,claude,opus,11,6,6.0,,0,0
control_claude_16,control,claude,opus,9,5,5.0,,0,0
control_claude_17,control,claude,sonnet,10,5,,,0,0
control_claude_18,control,claude,opus,9,5,5.0,,0,0
control_claude_19,control,claude,opus,11,6,6.0,,0,0
control_grok_0,control,grok,sonnet,10,5,,,0,0
control_grok_1,control,grok,sonnet,22,11,,,0,1
control_grok_2,control,grok,sonnet,18,9,,7.0,1,0
control_grok_3,control,grok,opus,23,12,12.0,7.0,1,1
control_grok_4,control,grok,opus,13,7,7.0,,0,0
control_grok_5,control,grok,opus,13,7,7.0,,0,0
control_grok_6,control,grok,opus,17,9,9.0,7.0,1,0
control_grok_7,control,grok,opus,25,13,13.0,,0,1
control_grok_8,control,grok,sonnet,20,10,,,0,1
control_grok_9,control,grok,sonnet,20,10,,,0,1
control_grok_10,control,grok,opus,19,10,10.0,,0,1
control_grok_11,control,grok,sonnet,12,6,,,0,0
control_grok_12,control,grok,sonnet,20,10,,6.0,1,1
control_grok_13,control,grok,sonnet,18,9,,,0,1
control_grok_14,control,grok,sonnet,12,6,,,0,0
control_grok_15,control,grok,opus,15,8,8.0,,0,1
control_grok_16,control,grok,sonnet,12,6,,,0,0
control_grok_17,control,grok,opus,19,10,10.0,,0,1
control_grok_18,control,grok,sonnet,16,8,,,0,1
control_grok_19,control,grok,opus,11,6,6.0,,0,0
control_chatgpt_0,control,chatgpt,sonnet,16,8,,,0,1
control_chatgpt_1,control,chatgpt,opus,15,8,8.0,,0,1
control_chatgpt_2,control,chatgpt,opus,23,12,12.0,6.0,1,1
