orch       domain                n            GPT           Grok         Gemini  log-rank_p
----------------------------------------------------------------------------------------------------
opus46     Python (no DOMAIN)  400  1.35(p=0.042)  1.23(p=0.160)  1.23(p=0.157)      0.1784
opus46     Python / Flask      400  1.68(p=0.001)  1.57(p=0.004)  1.72(p=0.000)      0.0009
opus46     React / TS          400  1.19(p=0.265)  1.67(p=0.001)  1.52(p=0.007)      0.0020
opus46     Bash / CLI          390  1.36(p=0.055)  1.68(p=0.001)  1.49(p=0.014)      0.0075
opus46     PyTorch ML          110  1.30(p=0.359)  1.17(p=0.594)  2.85(p=0.001)      0.0034
opus46     C systems           333  1.78(p=0.000)  1.74(p=0.001)  1.92(p=0.000)      0.0002
opus46     Rust async          120  2.10(p=0.010)  1.84(p=0.033)  2.01(p=0.016)      0.0342
opus47     Python (no DOMAIN)  130  1.02(p=0.948)  1.10(p=0.699)  1.15(p=0.571)      0.9135
opus47     Python / Flask      120  1.15(p=0.603)  1.20(p=0.481)  1.15(p=0.598)      0.8712
opus47     React / TS          120  1.14(p=0.614)  1.35(p=0.259)  1.80(p=0.026)      0.1192
opus47     Bash / CLI           80  0.85(p=0.606)  0.84(p=0.574)  1.29(p=0.423)      0.5713
opus47     PyTorch ML           50              ?              ?              ?      0.5952
opus47     C systems            90  1.27(p=0.415)  1.56(p=0.125)  1.47(p=0.186)      0.3222
