condition        domain                n            GPT           Grok         Gemini  log-rank_p
----------------------------------------------------------------------------------------------------
gpt5aud_dep      Python / Flask      400  1.51(p=0.011)  1.72(p=0.001)  1.64(p=0.002)      0.0024
gpt5aud_dep      React / TS          400  1.81(p=0.001)  1.63(p=0.005)  1.68(p=0.003)      0.0024
gpt5aud_dep      PyTorch ML          400  1.27(p=0.178)  1.71(p=0.002)  1.79(p=0.001)      0.0012
ablate_reliab    Python / Flask      400  1.18(p=0.252)  1.44(p=0.010)  0.96(p=0.768)      0.0091
ablate_reliab    React / TS          400  1.45(p=0.011)  1.86(p=0.000)  1.56(p=0.002)      0.0002
ablate_reliab    PyTorch ML          400  0.92(p=0.559)  1.08(p=0.567)  1.32(p=0.050)      0.0598
samefam          Python / Flask      400  0.96(p=0.776)  1.13(p=0.382)  1.06(p=0.658)      0.7294
samefam          React / TS          400  0.99(p=0.935)  1.07(p=0.629)  1.25(p=0.123)      0.4422
samefam          PyTorch ML          400  0.95(p=0.736)  0.97(p=0.821)  0.88(p=0.347)      0.7912
