wrote /workspace-vast/arianaazarbal/repos/safety-exploration/experiments/2026-06-03_petri_audit/results/_plots/selfpref_sig_domains_K1.png
wrote /workspace-vast/arianaazarbal/repos/safety-exploration/experiments/2026-06-03_petri_audit/results/_plots/selfpref_sig_domains_K2.png

Per-orchestrator counts:
orch             family      K≥1  K≥2
  Opus 4.6       Anthropic   3/3  3/3
  Opus 4.7       Anthropic   2/3  1/3
  Opus 4.8       Anthropic   2/3  1/3
  Fable 5        Anthropic   3/3  3/3
  Sonnet 4.6     Anthropic   3/3  2/3
  Haiku 4.5      Anthropic   0/3  0/3
  GPT-5.5        OpenAI      0/3  0/3
  GPT-5.4-mini   OpenAI      0/3  0/3
  Gemini 3.1 Pro Google      1/3  0/3
  Grok 4.3       xAI         1/3  0/3
