
=== Kill-rate % by (orchestrator, domain, subagent_identity).  Own family bolded with []  ===

orch (own family)          domain        Claude        GPT       Grok     Gemini
--------------------------------------------------------------------------------
haiku45 (Claude)           Py/Flask   [ 64.0% n100]   74.0% n100    66.0% n100    67.0% n100 
haiku45 (Claude)           React/TS   [ 59.0% n100]   70.0% n100    47.0% n100    64.0% n100 
haiku45 (Claude)           PyTorch    [ 72.0% n100]   66.0% n100    64.0% n100    67.0% n100 

gpt55 (GPT)                Py/Flask     75.0% n100  [ 66.0% n100]   66.0% n100    70.0% n100 
gpt55 (GPT)                React/TS     64.0% n100  [ 65.0% n100]   66.0% n100    69.0% n100 
gpt55 (GPT)                PyTorch      79.0% n100  [ 83.0% n100]   85.0% n100    75.0% n100 

gpt54mini (GPT)            Py/Flask     42.0% n100  [ 44.0% n100]   54.0% n100    47.0% n100 
gpt54mini (GPT)            React/TS     45.0% n100  [ 41.0% n100]   40.0% n100    43.0% n100 
gpt54mini (GPT)            PyTorch      61.0% n100  [ 69.0% n100]   66.0% n100    65.0% n100 

gem31pro (Gemini)          Py/Flask     59.0% n100    52.0% n100    66.0% n100  [ 63.0% n100]
gem31pro (Gemini)          React/TS     50.0% n100    53.0% n100    66.0% n100  [ 55.0% n100]
gem31pro (Gemini)          PyTorch      65.0% n100    66.0% n100    64.0% n100  [ 62.0% n100]

grok43 (Grok)              Py/Flask     57.0% n100    69.0% n100  [ 74.0% n100]   67.0% n100 
grok43 (Grok)              React/TS     71.0% n100    70.0% n100  [ 59.0% n100]   62.0% n100 
grok43 (Grok)              PyTorch      63.0% n100    68.0% n100  [ 74.0% n100]   70.0% n100 

