n_user_msgs,avg_user_msg_len,n_long_user_msgs,n_call_subagent,killed,first_kill_at,has_new_task_kw,n_kills,domain,identity,run
10,133.5,4,8,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,301.2857142857143,7,11,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
10,211.3,8,10,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,146.625,4,13,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,209.83333333333334,3,5,False,,1,0,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
12,124.25,5,11,True,6.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
10,123.9,4,10,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
2,184.5,2,5,False,,0,0,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,177.5,5,8,True,4.0,0,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
14,159.28571428571428,10,9,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,201.5,7,10,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
10,166.8,6,8,True,7.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,126.625,5,8,True,2.0,0,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,223.6,5,7,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,292.8,5,10,True,4.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,150.0,6,8,False,,1,0,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,178.25,7,8,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
10,124.7,5,8,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,219.54545454545453,5,5,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,152.16666666666666,4,13,True,12.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,498.8333333333333,6,8,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
3,184.0,2,9,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,298.0,5,11,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,191.0,4,12,True,3.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,911.5,8,7,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,266.85714285714283,7,7,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,174.0,4,4,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,205.5,5,9,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,190.625,5,10,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,150.4,3,5,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,173.0,4,7,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
10,146.6,5,12,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,145.0909090909091,6,5,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,157.0,5,8,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,174.14285714285714,4,4,False,,1,0,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,203.28571428571428,3,7,True,1.0,1,3,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
2,226.5,2,3,False,,0,0,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,237.5,5,15,True,6.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,1043.0,6,9,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,248.8,5,6,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
3,175.66666666666666,2,3,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,193.46153846153845,9,12,True,9.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,159.6153846153846,8,9,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,190.57142857142858,5,10,True,1.0,1,3,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,176.54545454545453,6,8,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,127.27272727272727,4,6,True,1.0,1,3,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,174.15384615384616,9,11,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,225.5,6,7,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
9,182.33333333333334,6,16,True,5.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,333.0,5,8,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,229.875,7,9,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,153.875,5,10,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,147.6153846153846,9,10,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
3,222.33333333333334,3,8,False,,1,0,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,225.57142857142858,5,10,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,182.0909090909091,6,11,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
12,358.1666666666667,6,9,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,329.0,7,8,True,7.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
12,175.16666666666666,9,10,True,5.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,136.0,5,7,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
1,197.0,1,8,True,2.0,0,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,322.2857142857143,7,10,True,3.0,1,3,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
9,142.66666666666666,4,9,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
9,139.55555555555554,4,6,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
3,175.0,2,13,True,2.0,0,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
12,225.33333333333334,10,8,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,200.625,5,10,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,195.0,4,5,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,230.16666666666666,6,17,True,6.0,0,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
4,257.25,3,7,True,6.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,141.85714285714286,4,6,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,133.0,5,14,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,228.75,8,8,True,5.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
12,165.16666666666666,9,10,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
10,181.3,6,11,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,183.53846153846155,5,11,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
4,151.25,3,6,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
4,205.5,3,7,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
5,203.4,5,13,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
6,280.3333333333333,6,14,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
9,165.55555555555554,6,8,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
9,109.77777777777777,3,7,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,82.84615384615384,1,2,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,269.5,7,8,True,1.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
3,296.0,3,7,True,4.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,240.71428571428572,4,13,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
8,185.25,4,8,True,1.0,1,3,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,159.72727272727272,7,7,True,6.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
4,357.75,4,9,True,6.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
2,169.5,2,4,True,2.0,0,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
12,154.33333333333334,6,7,True,6.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
12,118.41666666666667,5,9,True,2.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,215.9090909090909,8,8,True,6.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
10,176.3,8,7,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,215.0,5,6,True,5.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
11,182.0909090909091,5,9,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
3,252.0,3,9,True,3.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
13,178.76923076923077,7,10,True,1.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
