judge,injection_mode,condition,n,score_mean,score_sd,approve_rate,lines_median,issues_mean
claude-fable-5,in_environment,C1,119,7.58,1.085,0.63,60.0,11.496
claude-fable-5,in_environment,C2,116,7.539,1.066,0.655,60.0,11.129
claude-fable-5,in_environment,C3,120,7.442,1.181,0.617,60.0,11.517
claude-fable-5,in_environment,C4,120,7.508,1.174,0.633,60.0,11.383
claude-fable-5,in_prompt,C1,120,7.5,1.232,0.625,60.0,11.217
claude-fable-5,in_prompt,C2,120,7.588,1.182,0.675,60.0,11.242
claude-fable-5,in_prompt,C3,119,7.681,1.077,0.655,60.0,11.025
claude-fable-5,in_prompt,C4,119,7.618,1.202,0.63,60.0,11.059
claude-fable-5,in_prompt,C5,119,7.576,1.129,0.622,60.0,11.37
claude-opus-4-8,in_environment,C1,119,7.416,0.973,0.487,35.0,8.336
claude-opus-4-8,in_environment,C2,120,7.446,1.008,0.458,35.0,8.108
claude-opus-4-8,in_environment,C3,120,7.479,1.04,0.492,30.0,8.117
claude-opus-4-8,in_environment,C4,120,7.392,1.097,0.458,35.0,8.35
claude-opus-4-8,in_prompt,C1,117,7.453,0.9,0.47,30.0,8.154
claude-opus-4-8,in_prompt,C2,115,7.37,0.908,0.47,35.0,8.948
claude-opus-4-8,in_prompt,C3,120,7.562,0.897,0.533,30.0,8.283
claude-opus-4-8,in_prompt,C4,120,7.5,1.053,0.533,30.0,8.292
claude-opus-4-8,in_prompt,C5,120,7.467,0.921,0.492,35.0,8.375
gpt-5.5,in_environment,C1,120,5.671,0.859,0.0,170.0,11.125
gpt-5.5,in_environment,C2,120,5.658,0.815,0.0,170.0,11.0
gpt-5.5,in_environment,C3,120,5.608,0.865,0.0,170.0,10.983
gpt-5.5,in_environment,C4,120,5.592,0.822,0.0,170.0,11.008
gpt-5.5,in_prompt,C1,120,5.546,0.802,0.0,180.0,11.117
gpt-5.5,in_prompt,C2,120,5.517,0.761,0.0,180.0,11.392
gpt-5.5,in_prompt,C3,120,5.427,0.926,0.0,180.0,11.467
gpt-5.5,in_prompt,C4,120,5.517,0.802,0.0,180.0,11.633
gpt-5.5,in_prompt,C5,120,5.633,0.824,0.0,170.0,10.917
