
model             n  built  raw/built  welf/built  welf/raw
gemini31pro      21     19       1.05        0.00        0%
glm52            20     13       3.31        0.08        2%
gpt41            10      6       1.33        0.17       12%
gpt4o            10      5       1.00        0.00        0%
gpt5             10     10       5.30        0.00        0%
gpt52            10      8       9.50        2.25       24%
gpt54            21     14      11.79        1.57       13%
gpt55             2      2      14.00        0.00        0%
opus46          140     20       2.80        0.55       20%
opus47          140      8       4.00        0.88       22%
opus48          298     55       6.35        2.82       44%
